ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,04 | DoubleFactor: 2
ExtraAttackFactor: 0,25763764082403107 | DoubleFactor: 2
